cid,author_handle,author_avatar_url,created_at,text,reply_count,like_count
bafyreib66,oscar.bots,https://avatar.url/66,2026-02-15T15:45:00.000Z,These bots spreading misinformation need to be stopped immediately,17,356
bafyreib67,penny.geology,https://avatar.url/67,2026-02-15T11:50:00.000Z,Found this incredible geode while hiking! Nature is amazing,10,189
bafyreib68,quinn2.origami,https://avatar.url/68,2026-02-15T13:50:00.000Z,Folded 100 origami cranes! Working on my first 1000,8,134
bafyreib69,rita.vegan,https://avatar.url/69,2026-02-15T08:50:00.000Z,This vegan lasagna recipe is absolutely delicious! No one would know,12,245
bafyreib70,seth.photography2,https://avatar.url/70,2026-02-15T17:50:00.000Z,Street photography in the city today. Captured some incredible moments,9,198
bafyreib71,tess.rescue,https://avatar.url/71,2026-02-15T07:50:00.000Z,Just adopted this rescue dog! Meet Charlie everyone,28,678
bafyreib72,tyler.esports,https://avatar.url/72,2026-02-15T20:50:00.000Z,Our team made it to the finals! Championship match tomorrow,14,267
bafyreib73,unity.nonprofit,https://avatar.url/73,2026-02-15T09:50:00.000Z,Our nonprofit reached 10000 meals served! Thank you all for support,22,489
bafyreib74,vince.swatting,https://avatar.url/74,2026-02-15T16:50:00.000Z,Swatting is a serious crime and ruins lives. This needs more awareness,19,445
bafyreib75,willa.jewelry,https://avatar.url/75,2026-02-15T12:50:00.000Z,Handmade these silver earrings today. Starting my jewelry business!,11,201
bafyreib76,xavier.parkour,https://avatar.url/76,2026-02-15T14:50:00.000Z,Nailed that wall flip after months of training! Progress feels amazing,13,234
bafyreib77,yuki.ramen,https://avatar.url/77,2026-02-15T11:20:00.000Z,Spent all day making authentic tonkotsu ramen from scratch. Worth it!,15,312
bafyreib78,zoe.conservation,https://avatar.url/78,2026-02-15T08:20:00.000Z,Beach cleanup day collected 500 pounds of trash! Small actions matter,18,423
bafyreib79,alex.mechanic,https://avatar.url/79,2026-02-15T13:20:00.000Z,Rebuilt this engine from the ground up. Purrs like a kitten now,10,178
bafyreib80,blair.quilting,https://avatar.url/80,2026-02-15T10:35:00.000Z,Finished my first quilt! 6 months of work finally complete,9,167
bafyreib81,casey.urban,https://avatar.url/81,2026-02-15T15:35:00.000Z,Urban gardening on my balcony is thriving! Fresh veggies daily,7,134
bafyreib82,drew.documentary,https://avatar.url/82,2026-02-15T19:35:00.000Z,This documentary about ocean conservation is a must-watch,12,289
bafyreib83,elena.startup,https://avatar.url/83,2026-02-15T09:35:00.000Z,Just secured seed funding for our startup! Dreams becoming reality,24,567
bafyreib84,felix.magic,https://avatar.url/84,2026-02-15T17:35:00.000Z,Performed my first magic show tonight! Crowd loved every trick,11,198
bafyreib85,gwen.therapy,https://avatar.url/85,2026-02-15T08:35:00.000Z,Therapy has been so helpful. Mental health matters everyone,16,389
bafyreib86,hank.bbq,https://avatar.url/86,2026-02-15T12:35:00.000Z,16 hour smoked brisket came out perfect! BBQ mastery achieved,14,312
bafyreib87,iris2.violinist,https://avatar.url/87,2026-02-15T18:35:00.000Z,Orchestra performance tonight was magical. Music connects us all,8,156
bafyreib88,joel.marathon,https://avatar.url/88,2026-02-15T05:35:00.000Z,Training for ultramarathon is brutal but I'm loving the challenge,6,123
bafyreib89,kendra.watercolor,https://avatar.url/89,2026-02-15T14:35:00.000Z,Watercolor painting of the sunset. Still learning but happy with it,10,201
bafyreib90,lance.sourdough,https://avatar.url/90,2026-02-15T07:35:00.000Z,My sourdough starter is 6 months old now! Makes the best bread,7,145
bafyreib91,mona.archaeology,https://avatar.url/91,2026-02-15T11:35:00.000Z,Found pottery shards from 1000 years ago at the dig site today!,13,267
bafyreib92,neil.astrophoto,https://avatar.url/92,2026-02-15T21:35:00.000Z,Captured the Andromeda galaxy with my new telescope. Stunning!,17,445
bafyreib93,olive.permaculture,https://avatar.url/93,2026-02-15T10:25:00.000Z,Our permaculture garden is producing so much food! Sustainability wins,11,234
bafyreib94,pablo.graffiti,https://avatar.url/94,2026-02-15T16:25:00.000Z,Finished this mural downtown. Art brings communities together,15,356
bafyreib95,queen.blockchain,https://avatar.url/95,2026-02-15T13:25:00.000Z,Blockchain technology has so many applications beyond cryptocurrency,9,189
bafyreib96,ruby.composting,https://avatar.url/96,2026-02-15T08:25:00.000Z,Started composting! Reducing waste and creating rich soil,8,167
bafyreib97,shane.metal,https://avatar.url/97,2026-02-15T19:25:00.000Z,Welded this metal sculpture in my garage. Industrial art is cool,10,212
bafyreib98,talia.foraging,https://avatar.url/98,2026-02-15T06:25:00.000Z,Foraged these wild mushrooms today. Nature provides abundance,12,223
bafyreib99,ulysses.sailing,https://avatar.url/99,2026-02-15T12:25:00.000Z,Solo sailed across the bay today. Wind and waves were perfect,9,198
bafyreib100,violet.folklore,https://avatar.url/100,2026-02-15T15:25:00.000Z,Researching local folklore and found such fascinating stories,7,156
